,datatime,volume
665,2012-08-22,3062690000
666,2012-08-23,3008240000
667,2012-08-24,2598790000
668,2012-08-27,2472500000
669,2012-08-28,2629090000
670,2012-08-29,2571220000
671,2012-08-30,2530280000
672,2012-08-31,2938250000
673,2012-09-04,3200310000
674,2012-09-05,3389110000
675,2012-09-06,3952870000
676,2012-09-07,3717620000
677,2012-09-10,3223670000
678,2012-09-11,3509630000
679,2012-09-12,3641200000
680,2012-09-13,4606550000
681,2012-09-14,5041990000
682,2012-09-17,3482430000
683,2012-09-18,3377390000
684,2012-09-19,3451360000
685,2012-09-20,3382520000
686,2012-09-21,4833870000
687,2012-09-24,3008920000
688,2012-09-25,3739900000
689,2012-09-26,3565380000
690,2012-09-27,3150330000
691,2012-09-28,3509230000
692,2012-10-01,3505080000
693,2012-10-02,3321790000
694,2012-10-03,3531640000
695,2012-10-04,3615860000
696,2012-10-05,3172940000
697,2012-10-08,2328720000
698,2012-10-09,3216320000
699,2012-10-10,3225060000
700,2012-10-11,3672540000
701,2012-10-12,3134750000
702,2012-10-15,3483810000
703,2012-10-16,3568770000
704,2012-10-17,3655320000
705,2012-10-18,3880030000
706,2012-10-19,3875170000
707,2012-10-22,3216220000
708,2012-10-23,3587670000
709,2012-10-24,3385970000
710,2012-10-25,3512640000
711,2012-10-26,3284910000
712,2012-10-31,3577110000
713,2012-11-01,3929890000
714,2012-11-02,3732480000
715,2012-11-05,2921040000
716,2012-11-06,3306970000
717,2012-11-07,4356490000
718,2012-11-08,3779520000
719,2012-11-09,3647350000
720,2012-11-12,2567540000
721,2012-11-13,3455550000
722,2012-11-14,4109510000
723,2012-11-15,3928870000
724,2012-11-16,4045910000
725,2012-11-19,3374800000
726,2012-11-20,3207160000
727,2012-11-21,2667090000
728,2012-11-23,1504960000
729,2012-11-26,2948960000
730,2012-11-27,3323120000
731,2012-11-28,3359250000
732,2012-11-29,3356850000
733,2012-11-30,3966000000
734,2012-12-03,3074280000
735,2012-12-04,3247710000
736,2012-12-05,4253920000
737,2012-12-06,3229700000
738,2012-12-07,3125160000
739,2012-12-10,2999430000
740,2012-12-11,3650230000
741,2012-12-12,3709050000
742,2012-12-13,3349960000
743,2012-12-14,3210170000
744,2012-12-17,3455610000
745,2012-12-18,4302240000
746,2012-12-19,3869800000
747,2012-12-20,3686580000
748,2012-12-21,5229160000
749,2012-12-24,1248960000
750,2012-12-26,2285030000
751,2012-12-27,2830180000
752,2012-12-28,2426680000
753,2012-12-31,3204330000
754,2013-01-02,4202600000
755,2013-01-03,3829730000
756,2013-01-04,3424290000
757,2013-01-07,3304970000
758,2013-01-08,3601600000
759,2013-01-09,3674390000
760,2013-01-10,4081840000
761,2013-01-11,3340650000
762,2013-01-14,3003010000
763,2013-01-15,3135350000
764,2013-01-16,3384080000
765,2013-01-17,3706710000
766,2013-01-18,3795740000
767,2013-01-22,3570950000
768,2013-01-23,3552010000
769,2013-01-24,3699430000
770,2013-01-25,3476290000
771,2013-01-28,3388540000
772,2013-01-29,3949640000
773,2013-01-30,3726810000
774,2013-01-31,3999880000
775,2013-02-01,3836320000
776,2013-02-04,3390000000
777,2013-02-05,3618360000
778,2013-02-06,3611570000
779,2013-02-07,3614580000
780,2013-02-08,2986150000
781,2013-02-11,2684100000
782,2013-02-12,3414370000
783,2013-02-13,3385880000
784,2013-02-14,3759740000
785,2013-02-15,3838510000
786,2013-02-19,3748910000
787,2013-02-20,4240570000
788,2013-02-21,4274600000
789,2013-02-22,3419320000
790,2013-02-25,4011050000
791,2013-02-26,3975280000
792,2013-02-27,3551850000
793,2013-02-28,3912320000
794,2013-03-01,3695610000
795,2013-03-04,3414430000
796,2013-03-05,3610690000
797,2013-03-06,3676890000
798,2013-03-07,3634710000
799,2013-03-08,3652260000
800,2013-03-11,3091080000
801,2013-03-12,3274910000
802,2013-03-13,3073830000
803,2013-03-14,3459260000
804,2013-03-15,5175850000
